network,mask,binary_network,mask_binary,interface
31.121.131.211/8,255.0.0.0,00011111011110011000001111010011,11111111000000000000000000000000,ethernet1
184.101.244.199/16,255.255.0.0,10111000011001011111010011000111,11111111111111110000000000000000,ethernet21
71.28.223.200/8,255.0.0.0,01000111000111001101111111001000,11111111000000000000000000000000,ethernet2
89.66.250.15/8,255.0.0.0,01011001010000101111101000001111,11111111000000000000000000000000,ethernet43
118.238.54.105/8,255.0.0.0,01110110111011100011011001101001,11111111000000000000000000000000,ethernet22
217.180.204.49/24,255.255.255.0,11011001101101001100110000110001,11111111111111111111111100000000,ethernet28
97.4.198.89/8,255.0.0.0,01100001000001001100011001011001,11111111000000000000000000000000,ethernet17
193.173.111.228/24,255.255.255.0,11000001101011010110111111100100,11111111111111111111111100000000,ethernet40
167.228.227.186/16,255.255.0.0,10100111111001001110001110111010,11111111111111110000000000000000,ethernet43
64.145.232.114/8,255.0.0.0,01000000100100011110100001110010,11111111000000000000000000000000,ethernet29
177.64.107.107/16,255.255.0.0,10110001010000000110101101101011,11111111111111110000000000000000,ethernet18
157.128.245.201/16,255.255.0.0,10011101100000001111010111001001,11111111111111110000000000000000,ethernet7
118.130.213.119/8,255.0.0.0,01110110100000101101010101110111,11111111000000000000000000000000,ethernet17
209.235.55.49/24,255.255.255.0,11010001111010110011011100110001,11111111111111111111111100000000,ethernet35
124.25.121.3/8,255.0.0.0,01111100000110010111100100000011,11111111000000000000000000000000,ethernet45
18.37.101.73/8,255.0.0.0,00010010001001010110010101001001,11111111000000000000000000000000,ethernet47
117.232.100.37/8,255.0.0.0,01110101111010000110010000100101,11111111000000000000000000000000,ethernet44
99.150.164.221/8,255.0.0.0,01100011100101101010010011011101,11111111000000000000000000000000,ethernet7
221.120.69.242/24,255.255.255.0,11011101011110000100010111110010,11111111111111111111111100000000,ethernet26
190.163.195.217/16,255.255.0.0,10111110101000111100001111011001,11111111111111110000000000000000,ethernet10
219.33.97.200/24,255.255.255.0,11011011001000010110000111001000,11111111111111111111111100000000,ethernet38
101.73.144.131/8,255.0.0.0,01100101010010011001000010000011,11111111000000000000000000000000,ethernet8
212.190.148.129/24,255.255.255.0,11010100101111101001010010000001,11111111111111111111111100000000,ethernet45
38.189.229.156/8,255.0.0.0,00100110101111011110010110011100,11111111000000000000000000000000,ethernet10
24.160.148.170/8,255.0.0.0,00011000101000001001010010101010,11111111000000000000000000000000,ethernet12
211.128.237.158/24,255.255.255.0,11010011100000001110110110011110,11111111111111111111111100000000,ethernet12
36.66.147.195/8,255.0.0.0,00100100010000101001001111000011,11111111000000000000000000000000,ethernet13
56.163.165.114/8,255.0.0.0,00111000101000111010010101110010,11111111000000000000000000000000,ethernet5
148.99.113.3/16,255.255.0.0,10010100011000110111000100000011,11111111111111110000000000000000,ethernet42
193.213.176.210/24,255.255.255.0,11000001110101011011000011010010,11111111111111111111111100000000,ethernet38
71.9.117.62/8,255.0.0.0,01000111000010010111010100111110,11111111000000000000000000000000,ethernet19
143.208.207.21/16,255.255.0.0,10001111110100001100111100010101,11111111111111110000000000000000,ethernet50
202.189.60.51/24,255.255.255.0,11001010101111010011110000110011,11111111111111111111111100000000,ethernet30
150.126.18.40/16,255.255.0.0,10010110011111100001001000101000,11111111111111110000000000000000,ethernet2
179.235.7.92/16,255.255.0.0,10110011111010110000011101011100,11111111111111110000000000000000,ethernet45
101.149.151.231/8,255.0.0.0,01100101100101011001011111100111,11111111000000000000000000000000,ethernet39
212.0.207.133/24,255.255.255.0,11010100000000001100111110000101,11111111111111111111111100000000,ethernet47
221.98.194.171/24,255.255.255.0,11011101011000101100001010101011,11111111111111111111111100000000,ethernet26
129.127.126.171/16,255.255.0.0,10000001011111110111111010101011,11111111111111110000000000000000,ethernet30
168.241.61.131/16,255.255.0.0,10101000111100010011110110000011,11111111111111110000000000000000,ethernet23
134.105.21.189/16,255.255.0.0,10000110011010010001010110111101,11111111111111110000000000000000,ethernet32
151.168.53.213/16,255.255.0.0,10010111101010000011010111010101,11111111111111110000000000000000,ethernet26
115.38.40.31/8,255.0.0.0,01110011001001100010100000011111,11111111000000000000000000000000,ethernet15
218.221.89.90/24,255.255.255.0,11011010110111010101100101011010,11111111111111111111111100000000,ethernet44
85.192.95.25/8,255.0.0.0,01010101110000000101111100011001,11111111000000000000000000000000,ethernet13
132.189.108.5/16,255.255.0.0,10000100101111010110110000000101,11111111111111110000000000000000,ethernet49
214.196.223.105/24,255.255.255.0,11010110110001001101111101101001,11111111111111111111111100000000,ethernet20
79.18.113.253/8,255.0.0.0,01001111000100100111000111111101,11111111000000000000000000000000,ethernet23
158.19.85.30/16,255.255.0.0,10011110000100110101010100011110,11111111111111110000000000000000,ethernet16
173.237.145.215/16,255.255.0.0,10101101111011011001000111010111,11111111111111110000000000000000,ethernet32
205.36.101.5/24,255.255.255.0,11001101001001000110010100000101,11111111111111111111111100000000,ethernet44
150.226.177.160/16,255.255.0.0,10010110111000101011000110100000,11111111111111110000000000000000,ethernet1
132.173.111.96/16,255.255.0.0,10000100101011010110111101100000,11111111111111110000000000000000,ethernet41
32.43.228.90/8,255.0.0.0,00100000001010111110010001011010,11111111000000000000000000000000,ethernet36
218.65.7.16/24,255.255.255.0,11011010010000010000011100010000,11111111111111111111111100000000,ethernet6
121.183.51.252/8,255.0.0.0,01111001101101110011001111111100,11111111000000000000000000000000,ethernet31
188.138.114.123/16,255.255.0.0,10111100100010100111001001111011,11111111111111110000000000000000,ethernet2
151.47.231.113/16,255.255.0.0,10010111001011111110011101110001,11111111111111110000000000000000,ethernet49
76.243.216.74/8,255.0.0.0,01001100111100111101100001001010,11111111000000000000000000000000,ethernet1
160.1.167.27/16,255.255.0.0,10100000000000011010011100011011,11111111111111110000000000000000,ethernet16
140.151.230.37/16,255.255.0.0,10001100100101111110011000100101,11111111111111110000000000000000,ethernet18
150.38.192.210/16,255.255.0.0,10010110001001101100000011010010,11111111111111110000000000000000,ethernet46
174.61.39.96/16,255.255.0.0,10101110001111010010011101100000,11111111111111110000000000000000,ethernet29
134.156.140.98/16,255.255.0.0,10000110100111001000110001100010,11111111111111110000000000000000,ethernet6
217.93.249.208/24,255.255.255.0,11011001010111011111100111010000,11111111111111111111111100000000,ethernet17
140.118.115.17/16,255.255.0.0,10001100011101100111001100010001,11111111111111110000000000000000,ethernet42
160.191.237.234/16,255.255.0.0,10100000101111111110110111101010,11111111111111110000000000000000,ethernet4
32.133.137.90/8,255.0.0.0,00100000100001011000100101011010,11111111000000000000000000000000,ethernet44
152.116.241.36/16,255.255.0.0,10011000011101001111000100100100,11111111111111110000000000000000,ethernet2
166.40.104.250/16,255.255.0.0,10100110001010000110100011111010,11111111111111110000000000000000,ethernet36
63.219.199.112/8,255.0.0.0,00111111110110111100011101110000,11111111000000000000000000000000,ethernet17
155.30.35.90/16,255.255.0.0,10011011000111100010001101011010,11111111111111110000000000000000,ethernet14
218.157.21.15/24,255.255.255.0,11011010100111010001010100001111,11111111111111111111111100000000,ethernet2
174.49.186.187/16,255.255.0.0,10101110001100011011101010111011,11111111111111110000000000000000,ethernet21
179.141.148.241/16,255.255.0.0,10110011100011011001010011110001,11111111111111110000000000000000,ethernet47
187.139.221.149/16,255.255.0.0,10111011100010111101110110010101,11111111111111110000000000000000,ethernet23
159.225.132.126/16,255.255.0.0,10011111111000011000010001111110,11111111111111110000000000000000,ethernet10
90.79.243.204/8,255.0.0.0,01011010010011111111001111001100,11111111000000000000000000000000,ethernet30
33.67.234.234/8,255.0.0.0,00100001010000111110101011101010,11111111000000000000000000000000,ethernet40
10.127.239.37/8,255.0.0.0,00001010011111111110111100100101,11111111000000000000000000000000,ethernet39
17.254.20.4/8,255.0.0.0,00010001111111100001010000000100,11111111000000000000000000000000,ethernet2
30.124.213.32/8,255.0.0.0,00011110011111001101010100100000,11111111000000000000000000000000,ethernet27
56.66.198.4/8,255.0.0.0,00111000010000101100011000000100,11111111000000000000000000000000,ethernet20
207.71.230.230/24,255.255.255.0,11001111010001111110011011100110,11111111111111111111111100000000,ethernet8
206.68.178.11/24,255.255.255.0,11001110010001001011001000001011,11111111111111111111111100000000,ethernet6
220.199.63.110/24,255.255.255.0,11011100110001110011111101101110,11111111111111111111111100000000,ethernet25
58.106.12.232/8,255.0.0.0,00111010011010100000110011101000,11111111000000000000000000000000,ethernet32
1.179.8.29/8,255.0.0.0,00000001101100110000100000011101,11111111000000000000000000000000,ethernet18
211.166.123.87/24,255.255.255.0,11010011101001100111101101010111,11111111111111111111111100000000,ethernet11
30.96.224.110/8,255.0.0.0,00011110011000001110000001101110,11111111000000000000000000000000,ethernet35
65.253.62.207/8,255.0.0.0,01000001111111010011111011001111,11111111000000000000000000000000,ethernet20
17.59.239.59/8,255.0.0.0,00010001001110111110111100111011,11111111000000000000000000000000,ethernet40
221.190.233.156/24,255.255.255.0,11011101101111101110100110011100,11111111111111111111111100000000,ethernet46
196.250.38.148/24,255.255.255.0,11000100111110100010011010010100,11111111111111111111111100000000,ethernet2
103.43.165.82/8,255.0.0.0,01100111001010111010010101010010,11111111000000000000000000000000,ethernet7
34.117.135.238/8,255.0.0.0,00100010011101011000011111101110,11111111000000000000000000000000,ethernet44
209.188.140.0/24,255.255.255.0,11010001101111001000110000000000,11111111111111111111111100000000,ethernet22
116.217.110.183/8,255.0.0.0,01110100110110010110111010110111,11111111000000000000000000000000,ethernet25
14.89.159.229/8,255.0.0.0,00001110010110011001111111100101,11111111000000000000000000000000,ethernet6
64.199.254.185/8,255.0.0.0,01000000110001111111111010111001,11111111000000000000000000000000,ethernet5
116.119.153.43/8,255.0.0.0,01110100011101111001100100101011,11111111000000000000000000000000,ethernet37
44.159.35.164/8,255.0.0.0,00101100100111110010001110100100,11111111000000000000000000000000,ethernet5
12.87.237.53/8,255.0.0.0,00001100010101111110110100110101,11111111000000000000000000000000,ethernet20
79.144.65.184/8,255.0.0.0,01001111100100000100000110111000,11111111000000000000000000000000,ethernet39
198.193.169.37/24,255.255.255.0,11000110110000011010100100100101,11111111111111111111111100000000,ethernet21
111.182.250.35/8,255.0.0.0,01101111101101101111101000100011,11111111000000000000000000000000,ethernet9
198.145.146.157/24,255.255.255.0,11000110100100011001001010011101,11111111111111111111111100000000,ethernet44
129.77.114.105/16,255.255.0.0,10000001010011010111001001101001,11111111111111110000000000000000,ethernet46
39.15.12.108/8,255.0.0.0,00100111000011110000110001101100,11111111000000000000000000000000,ethernet11
129.30.136.241/16,255.255.0.0,10000001000111101000100011110001,11111111111111110000000000000000,ethernet44
146.113.59.162/16,255.255.0.0,10010010011100010011101110100010,11111111111111110000000000000000,ethernet39
28.59.155.190/8,255.0.0.0,00011100001110111001101110111110,11111111000000000000000000000000,ethernet25
43.14.184.144/8,255.0.0.0,00101011000011101011100010010000,11111111000000000000000000000000,ethernet19
214.235.90.140/24,255.255.255.0,11010110111010110101101010001100,11111111111111111111111100000000,ethernet42
6.40.206.182/8,255.0.0.0,00000110001010001100111010110110,11111111000000000000000000000000,ethernet38
218.245.25.38/24,255.255.255.0,11011010111101010001100100100110,11111111111111111111111100000000,ethernet33
203.179.153.151/24,255.255.255.0,11001011101100111001100110010111,11111111111111111111111100000000,ethernet49
80.102.28.144/8,255.0.0.0,01010000011001100001110010010000,11111111000000000000000000000000,ethernet19
118.3.228.206/8,255.0.0.0,01110110000000111110010011001110,11111111000000000000000000000000,ethernet14
167.174.47.141/16,255.255.0.0,10100111101011100010111110001101,11111111111111110000000000000000,ethernet31
93.70.238.195/8,255.0.0.0,01011101010001101110111011000011,11111111000000000000000000000000,ethernet18
214.108.157.17/24,255.255.255.0,11010110011011001001110100010001,11111111111111111111111100000000,ethernet23
142.208.70.211/16,255.255.0.0,10001110110100000100011011010011,11111111111111110000000000000000,ethernet47
201.234.156.9/24,255.255.255.0,11001001111010101001110000001001,11111111111111111111111100000000,ethernet43
220.197.52.234/24,255.255.255.0,11011100110001010011010011101010,11111111111111111111111100000000,ethernet2
85.167.245.42/8,255.0.0.0,01010101101001111111010100101010,11111111000000000000000000000000,ethernet35
47.177.161.189/8,255.0.0.0,00101111101100011010000110111101,11111111000000000000000000000000,ethernet49
203.232.134.110/24,255.255.255.0,11001011111010001000011001101110,11111111111111111111111100000000,ethernet44
166.31.19.14/16,255.255.0.0,10100110000111110001001100001110,11111111111111110000000000000000,ethernet38
197.206.224.3/24,255.255.255.0,11000101110011101110000000000011,11111111111111111111111100000000,ethernet38
180.115.0.118/16,255.255.0.0,10110100011100110000000001110110,11111111111111110000000000000000,ethernet6
193.8.68.137/24,255.255.255.0,11000001000010000100010010001001,11111111111111111111111100000000,ethernet8
194.172.191.106/24,255.255.255.0,11000010101011001011111101101010,11111111111111111111111100000000,ethernet27
60.71.177.161/8,255.0.0.0,00111100010001111011000110100001,11111111000000000000000000000000,ethernet22
149.70.110.152/16,255.255.0.0,10010101010001100110111010011000,11111111111111110000000000000000,ethernet8
218.160.109.75/24,255.255.255.0,11011010101000000110110101001011,11111111111111111111111100000000,ethernet14
155.148.238.212/16,255.255.0.0,10011011100101001110111011010100,11111111111111110000000000000000,ethernet39
164.74.204.80/16,255.255.0.0,10100100010010101100110001010000,11111111111111110000000000000000,ethernet8
190.40.142.126/16,255.255.0.0,10111110001010001000111001111110,11111111111111110000000000000000,ethernet20
57.251.106.131/8,255.0.0.0,00111001111110110110101010000011,11111111000000000000000000000000,ethernet4
11.242.84.60/8,255.0.0.0,00001011111100100101010000111100,11111111000000000000000000000000,ethernet3
56.214.115.189/8,255.0.0.0,00111000110101100111001110111101,11111111000000000000000000000000,ethernet41
30.63.50.144/8,255.0.0.0,00011110001111110011001010010000,11111111000000000000000000000000,ethernet50
123.62.126.65/8,255.0.0.0,01111011001111100111111001000001,11111111000000000000000000000000,ethernet49
192.166.238.129/24,255.255.255.0,11000000101001101110111010000001,11111111111111111111111100000000,ethernet35
193.123.179.117/24,255.255.255.0,11000001011110111011001101110101,11111111111111111111111100000000,ethernet27
206.59.19.101/24,255.255.255.0,11001110001110110001001101100101,11111111111111111111111100000000,ethernet30
214.158.135.67/24,255.255.255.0,11010110100111101000011101000011,11111111111111111111111100000000,ethernet41
166.97.207.212/16,255.255.0.0,10100110011000011100111111010100,11111111111111110000000000000000,ethernet7
197.61.201.77/24,255.255.255.0,11000101001111011100100101001101,11111111111111111111111100000000,ethernet48
6.147.57.28/8,255.0.0.0,00000110100100110011100100011100,11111111000000000000000000000000,ethernet35
140.245.81.24/16,255.255.0.0,10001100111101010101000100011000,11111111111111110000000000000000,ethernet46
185.113.121.126/16,255.255.0.0,10111001011100010111100101111110,11111111111111110000000000000000,ethernet31
173.221.155.250/16,255.255.0.0,10101101110111011001101111111010,11111111111111110000000000000000,ethernet19
20.72.112.65/8,255.0.0.0,00010100010010000111000001000001,11111111000000000000000000000000,ethernet37
39.97.76.233/8,255.0.0.0,00100111011000010100110011101001,11111111000000000000000000000000,ethernet48
204.239.139.136/24,255.255.255.0,11001100111011111000101110001000,11111111111111111111111100000000,ethernet36
4.161.122.241/8,255.0.0.0,00000100101000010111101011110001,11111111000000000000000000000000,ethernet11
205.87.34.18/24,255.255.255.0,11001101010101110010001000010010,11111111111111111111111100000000,ethernet9
1.23.53.233/8,255.0.0.0,00000001000101110011010111101001,11111111000000000000000000000000,ethernet29
121.153.138.127/8,255.0.0.0,01111001100110011000101001111111,11111111000000000000000000000000,ethernet44
168.106.79.254/16,255.255.0.0,10101000011010100100111111111110,11111111111111110000000000000000,ethernet35
69.142.220.115/8,255.0.0.0,01000101100011101101110001110011,11111111000000000000000000000000,ethernet44
138.217.66.200/16,255.255.0.0,10001010110110010100001011001000,11111111111111110000000000000000,ethernet16
218.115.0.76/24,255.255.255.0,11011010011100110000000001001100,11111111111111111111111100000000,ethernet23
108.48.107.173/8,255.0.0.0,01101100001100000110101110101101,11111111000000000000000000000000,ethernet21
77.234.42.65/8,255.0.0.0,01001101111010100010101001000001,11111111000000000000000000000000,ethernet17
207.66.110.186/24,255.255.255.0,11001111010000100110111010111010,11111111111111111111111100000000,ethernet30
122.44.71.45/8,255.0.0.0,01111010001011000100011100101101,11111111000000000000000000000000,ethernet42
36.242.225.28/8,255.0.0.0,00100100111100101110000100011100,11111111000000000000000000000000,ethernet11
67.54.113.37/8,255.0.0.0,01000011001101100111000100100101,11111111000000000000000000000000,ethernet10
48.157.204.2/8,255.0.0.0,00110000100111011100110000000010,11111111000000000000000000000000,ethernet37
208.170.151.21/24,255.255.255.0,11010000101010101001011100010101,11111111111111111111111100000000,ethernet10
214.115.145.138/24,255.255.255.0,11010110011100111001000110001010,11111111111111111111111100000000,ethernet1
9.21.142.79/8,255.0.0.0,00001001000101011000111001001111,11111111000000000000000000000000,ethernet23
93.184.198.223/8,255.0.0.0,01011101101110001100011011011111,11111111000000000000000000000000,ethernet31
98.181.29.93/8,255.0.0.0,01100010101101010001110101011101,11111111000000000000000000000000,ethernet39
123.254.156.136/8,255.0.0.0,01111011111111101001110010001000,11111111000000000000000000000000,ethernet1
125.150.2.74/8,255.0.0.0,01111101100101100000001001001010,11111111000000000000000000000000,ethernet37
151.141.155.3/16,255.255.0.0,10010111100011011001101100000011,11111111111111110000000000000000,ethernet7
36.34.240.206/8,255.0.0.0,00100100001000101111000011001110,11111111000000000000000000000000,ethernet26
214.168.106.42/24,255.255.255.0,11010110101010000110101000101010,11111111111111111111111100000000,ethernet25
1.41.190.48/8,255.0.0.0,00000001001010011011111000110000,11111111000000000000000000000000,ethernet42
21.184.253.4/8,255.0.0.0,00010101101110001111110100000100,11111111000000000000000000000000,ethernet15
177.10.106.133/16,255.255.0.0,10110001000010100110101010000101,11111111111111110000000000000000,ethernet4
135.191.165.62/16,255.255.0.0,10000111101111111010010100111110,11111111111111110000000000000000,ethernet41
197.108.94.102/24,255.255.255.0,11000101011011000101111001100110,11111111111111111111111100000000,ethernet44
210.228.253.7/24,255.255.255.0,11010010111001001111110100000111,11111111111111111111111100000000,ethernet46
4.218.172.196/8,255.0.0.0,00000100110110101010110011000100,11111111000000000000000000000000,ethernet36
59.251.26.23/8,255.0.0.0,00111011111110110001101000010111,11111111000000000000000000000000,ethernet31
183.156.142.242/16,255.255.0.0,10110111100111001000111011110010,11111111111111110000000000000000,ethernet17
19.213.0.117/8,255.0.0.0,00010011110101010000000001110101,11111111000000000000000000000000,ethernet34
133.101.234.191/16,255.255.0.0,10000101011001011110101010111111,11111111111111110000000000000000,ethernet30
27.169.181.153/8,255.0.0.0,00011011101010011011010110011001,11111111000000000000000000000000,ethernet1
101.181.53.1/8,255.0.0.0,01100101101101010011010100000001,11111111000000000000000000000000,ethernet48
82.201.234.219/8,255.0.0.0,01010010110010011110101011011011,11111111000000000000000000000000,ethernet20
46.111.15.7/8,255.0.0.0,00101110011011110000111100000111,11111111000000000000000000000000,ethernet33
181.11.170.117/16,255.255.0.0,10110101000010111010101001110101,11111111111111110000000000000000,ethernet9
73.206.185.148/8,255.0.0.0,01001001110011101011100110010100,11111111000000000000000000000000,ethernet2
41.118.223.27/8,255.0.0.0,00101001011101101101111100011011,11111111000000000000000000000000,ethernet26
213.17.66.38/24,255.255.255.0,11010101000100010100001000100110,11111111111111111111111100000000,ethernet19
30.159.210.193/8,255.0.0.0,00011110100111111101001011000001,11111111000000000000000000000000,ethernet12
199.124.135.148/24,255.255.255.0,11000111011111001000011110010100,11111111111111111111111100000000,ethernet32
59.28.134.179/8,255.0.0.0,00111011000111001000011010110011,11111111000000000000000000000000,ethernet38
141.135.145.178/16,255.255.0.0,10001101100001111001000110110010,11111111111111110000000000000000,ethernet9
56.60.12.130/8,255.0.0.0,00111000001111000000110010000010,11111111000000000000000000000000,ethernet46
113.80.219.112/8,255.0.0.0,01110001010100001101101101110000,11111111000000000000000000000000,ethernet9
74.91.201.106/8,255.0.0.0,01001010010110111100100101101010,11111111000000000000000000000000,ethernet5
222.34.239.220/24,255.255.255.0,11011110001000101110111111011100,11111111111111111111111100000000,ethernet1
48.0.37.101/8,255.0.0.0,00110000000000000010010101100101,11111111000000000000000000000000,ethernet34
166.91.244.103/16,255.255.0.0,10100110010110111111010001100111,11111111111111110000000000000000,ethernet20
9.226.98.168/8,255.0.0.0,00001001111000100110001010101000,11111111000000000000000000000000,ethernet23
88.60.160.68/8,255.0.0.0,01011000001111001010000001000100,11111111000000000000000000000000,ethernet33
116.221.81.112/8,255.0.0.0,01110100110111010101000101110000,11111111000000000000000000000000,ethernet15
64.203.211.227/8,255.0.0.0,01000000110010111101001111100011,11111111000000000000000000000000,ethernet27
221.251.185.24/24,255.255.255.0,11011101111110111011100100011000,11111111111111111111111100000000,ethernet20
204.218.193.89/24,255.255.255.0,11001100110110101100000101011001,11111111111111111111111100000000,ethernet11
38.33.37.245/8,255.0.0.0,00100110001000010010010111110101,11111111000000000000000000000000,ethernet46
217.142.157.223/24,255.255.255.0,11011001100011101001110111011111,11111111111111111111111100000000,ethernet21
212.250.121.121/24,255.255.255.0,11010100111110100111100101111001,11111111111111111111111100000000,ethernet19
146.171.222.23/16,255.255.0.0,10010010101010111101111000010111,11111111111111110000000000000000,ethernet2
118.143.238.4/8,255.0.0.0,01110110100011111110111000000100,11111111000000000000000000000000,ethernet34
21.200.86.69/8,255.0.0.0,00010101110010000101011001000101,11111111000000000000000000000000,ethernet22
175.143.177.172/16,255.255.0.0,10101111100011111011000110101100,11111111111111110000000000000000,ethernet17
198.211.38.136/24,255.255.255.0,11000110110100110010011010001000,11111111111111111111111100000000,ethernet44
138.202.78.235/16,255.255.0.0,10001010110010100100111011101011,11111111111111110000000000000000,ethernet11
143.170.111.38/16,255.255.0.0,10001111101010100110111100100110,11111111111111110000000000000000,ethernet8
209.196.185.227/24,255.255.255.0,11010001110001001011100111100011,11111111111111111111111100000000,ethernet39
27.221.174.116/8,255.0.0.0,00011011110111011010111001110100,11111111000000000000000000000000,ethernet12
151.108.151.233/16,255.255.0.0,10010111011011001001011111101001,11111111111111110000000000000000,ethernet1
11.60.20.42/8,255.0.0.0,00001011001111000001010000101010,11111111000000000000000000000000,ethernet45
201.232.12.142/24,255.255.255.0,11001001111010000000110010001110,11111111111111111111111100000000,ethernet13
88.237.228.254/8,255.0.0.0,01011000111011011110010011111110,11111111000000000000000000000000,ethernet28
158.39.190.42/16,255.255.0.0,10011110001001111011111000101010,11111111111111110000000000000000,ethernet41
194.72.51.208/24,255.255.255.0,11000010010010000011001111010000,11111111111111111111111100000000,ethernet25
161.179.118.81/16,255.255.0.0,10100001101100110111011001010001,11111111111111110000000000000000,ethernet45
141.160.122.226/16,255.255.0.0,10001101101000000111101011100010,11111111111111110000000000000000,ethernet42
140.130.71.143/16,255.255.0.0,10001100100000100100011110001111,11111111111111110000000000000000,ethernet22
218.128.96.73/24,255.255.255.0,11011010100000000110000001001001,11111111111111111111111100000000,ethernet21
41.241.35.229/8,255.0.0.0,00101001111100010010001111100101,11111111000000000000000000000000,ethernet23
27.141.176.185/8,255.0.0.0,00011011100011011011000010111001,11111111000000000000000000000000,ethernet34
103.206.78.158/8,255.0.0.0,01100111110011100100111010011110,11111111000000000000000000000000,ethernet21
161.190.160.81/16,255.255.0.0,10100001101111101010000001010001,11111111111111110000000000000000,ethernet23
182.196.151.30/16,255.255.0.0,10110110110001001001011100011110,11111111111111110000000000000000,ethernet48
167.22.64.167/16,255.255.0.0,10100111000101100100000010100111,11111111111111110000000000000000,ethernet49
4.51.118.152/8,255.0.0.0,00000100001100110111011010011000,11111111000000000000000000000000,ethernet45
16.226.136.45/8,255.0.0.0,00010000111000101000100000101101,11111111000000000000000000000000,ethernet46
90.238.127.170/8,255.0.0.0,01011010111011100111111110101010,11111111000000000000000000000000,ethernet3
177.107.153.112/16,255.255.0.0,10110001011010111001100101110000,11111111111111110000000000000000,ethernet47
181.187.220.224/16,255.255.0.0,10110101101110111101110011100000,11111111111111110000000000000000,ethernet35
110.135.116.211/8,255.0.0.0,01101110100001110111010011010011,11111111000000000000000000000000,ethernet3
210.222.220.220/24,255.255.255.0,11010010110111101101110011011100,11111111111111111111111100000000,ethernet48
140.233.35.116/16,255.255.0.0,10001100111010010010001101110100,11111111111111110000000000000000,ethernet26
194.55.90.82/24,255.255.255.0,11000010001101110101101001010010,11111111111111111111111100000000,ethernet9
187.222.12.194/16,255.255.0.0,10111011110111100000110011000010,11111111111111110000000000000000,ethernet6
155.99.228.131/16,255.255.0.0,10011011011000111110010010000011,11111111111111110000000000000000,ethernet20
60.127.183.59/8,255.0.0.0,00111100011111111011011100111011,11111111000000000000000000000000,ethernet48
129.124.151.89/16,255.255.0.0,10000001011111001001011101011001,11111111111111110000000000000000,ethernet30
138.22.222.110/16,255.255.0.0,10001010000101101101111001101110,11111111111111110000000000000000,ethernet35
119.122.105.114/8,255.0.0.0,01110111011110100110100101110010,11111111000000000000000000000000,ethernet9
99.71.96.36/8,255.0.0.0,01100011010001110110000000100100,11111111000000000000000000000000,ethernet4
142.26.23.32/16,255.255.0.0,10001110000110100001011100100000,11111111111111110000000000000000,ethernet6
2.253.224.195/8,255.0.0.0,00000010111111011110000011000011,11111111000000000000000000000000,ethernet36
123.50.221.160/8,255.0.0.0,01111011001100101101110110100000,11111111000000000000000000000000,ethernet12
29.60.195.234/8,255.0.0.0,00011101001111001100001111101010,11111111000000000000000000000000,ethernet36
46.210.165.222/8,255.0.0.0,00101110110100101010010111011110,11111111000000000000000000000000,ethernet49
81.234.98.109/8,255.0.0.0,01010001111010100110001001101101,11111111000000000000000000000000,ethernet45
56.205.215.254/8,255.0.0.0,00111000110011011101011111111110,11111111000000000000000000000000,ethernet35
178.111.85.1/16,255.255.0.0,10110010011011110101010100000001,11111111111111110000000000000000,ethernet28
142.14.10.10/16,255.255.0.0,10001110000011100000101000001010,11111111111111110000000000000000,ethernet10
106.241.44.199/8,255.0.0.0,01101010111100010010110011000111,11111111000000000000000000000000,ethernet9
13.208.140.202/8,255.0.0.0,00001101110100001000110011001010,11111111000000000000000000000000,ethernet9
146.161.218.185/16,255.255.0.0,10010010101000011101101010111001,11111111111111110000000000000000,ethernet22
126.142.24.177/8,255.0.0.0,01111110100011100001100010110001,11111111000000000000000000000000,ethernet8
94.247.49.198/8,255.0.0.0,01011110111101110011000111000110,11111111000000000000000000000000,ethernet41
111.211.71.200/8,255.0.0.0,01101111110100110100011111001000,11111111000000000000000000000000,ethernet47
178.161.9.21/16,255.255.0.0,10110010101000010000100100010101,11111111111111110000000000000000,ethernet42
180.207.154.142/16,255.255.0.0,10110100110011111001101010001110,11111111111111110000000000000000,ethernet23
124.178.76.111/8,255.0.0.0,01111100101100100100110001101111,11111111000000000000000000000000,ethernet6
72.88.247.191/8,255.0.0.0,01001000010110001111011110111111,11111111000000000000000000000000,ethernet27
106.104.91.79/8,255.0.0.0,01101010011010000101101101001111,11111111000000000000000000000000,ethernet10
218.155.222.22/24,255.255.255.0,11011010100110111101111000010110,11111111111111111111111100000000,ethernet40
216.58.151.36/24,255.255.255.0,11011000001110101001011100100100,11111111111111111111111100000000,ethernet6
161.36.135.230/16,255.255.0.0,10100001001001001000011111100110,11111111111111110000000000000000,ethernet11
173.75.173.247/16,255.255.0.0,10101101010010111010110111110111,11111111111111110000000000000000,ethernet1
38.138.174.52/8,255.0.0.0,00100110100010101010111000110100,11111111000000000000000000000000,ethernet11
46.158.240.124/8,255.0.0.0,00101110100111101111000001111100,11111111000000000000000000000000,ethernet15
48.160.47.158/8,255.0.0.0,00110000101000000010111110011110,11111111000000000000000000000000,ethernet34
187.17.52.12/16,255.255.0.0,10111011000100010011010000001100,11111111111111110000000000000000,ethernet4
128.75.82.180/16,255.255.0.0,10000000010010110101001010110100,11111111111111110000000000000000,ethernet15
160.107.22.11/16,255.255.0.0,10100000011010110001011000001011,11111111111111110000000000000000,ethernet16
